Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
TR,8622.244426042915,9940.412066513296,11483.573179609048,12653.054576449098,14113.058615556487,13969.78863988955,15964.317143469745,18928.30683841257,21037.071682503527,23945.951552043978,26624.095204161247,30056.086341346218,33131.0195591722,39018.78962359078,46201.87643810065,52286.741712822106,60545.509981417024,86231.40882911542,176650.8748783556,311109.54088617,0.0,6021.130308386051,7375.626452269458,7971.207708678076,9735.442201108292,11018.247566356293,9044.289025434135,10629.445694005333,11289.185164026765,11674.97127200822,12582.471383253676,12178.02458719534,11085.250217851953,10964.466696860689,10696.381801111072,9799.234805665024,9207.607535830668,8600.392862993976,9601.307875729563,10659.157223760125,13243.4391680896
TR10,14794.75710483022,16879.270251443766,19422.61857621533,21430.394522450835,23801.62419682107,23454.564887903412,26022.174173844116,30811.822651038183,34538.22729251855,39742.30326314597,44262.06500597106,50099.891878214774,55090.03674180024,65285.13804320361,77035.96789432525,86651.18879866935,98032.30512605743,140864.2477215824,287524.1149022308,510733.136532037,0.0,10331.551276839173,12524.148026111112,13482.016833606525,16488.853814682447,18582.236142127018,15184.901452716238,17326.221017475134,18376.729314363536,19167.725314241903,20882.71131870888,20245.740251052983,18477.782870664472,18231.64156193546,17896.88427511205,16339.023348749488,15259.129041801812,13925.332161010227,15684.320010799744,17349.27578748643,21741.0986674446
TR21,10843.368304310243,12290.787970128127,13789.58178896742,15296.116135164986,16961.062086970865,16506.23599431499,19024.735811542385,22246.56879102923,24207.876006358914,26964.154354316775,30585.69037479898,34222.80398354629,38138.05562413929,45282.75949186775,54419.93274787101,61901.771354474964,73901.02338361817,112617.93263191065,220555.08690029304,356760.778852077,0.0,7572.1970192439685,9119.567706563848,9571.90056931444,11769.051783947134,13241.720746244906,10686.430045786954,12667.14976495615,13268.256716787799,13434.676707673,14168.395012386378,13990.082537806938,12622.01409077797,12621.508373053635,12413.549707858147,11542.251965011541,10900.798132253089,10497.522182429315,12539.27609683281,13308.34817200417,15186.7398821319
TR22,7915.688641227374,9219.994803436535,10397.66879127308,11465.85863079646,12981.582022216066,13126.825363100941,15377.64105236924,17684.43086263358,19432.21571764444,20800.351600423568,23533.61682948903,26119.497368791875,29677.754167285024,34353.72036257784,41020.97848967769,47043.293732785496,56326.02860397695,77477.87113709233,160313.348118521,273354.690386916,0.0,5527.7246195298385,6841.088388186537,7217.4380155862855,8821.99656310371,10134.889142037116,8498.539643705228,10238.821930127338,10547.314994046406,10784.322251639855,10929.606543516302,10764.42080669686,9633.36212869739,9821.633971259093,9417.527115309842,8700.386892662991,8284.245139300197,8001.02228150561,8626.65824951889,9673.346842122426,11636.2751304231
TR31,10357.846533844631,11819.389457705392,13770.429100924574,14899.959394258956,16486.93368436062,16098.79721843212,18499.992671414915,22120.584053824477,24569.58773943325,27499.424758203302,30235.458022807998,33617.11461743384,37878.508149497284,45221.70284939426,54915.416608224514,60586.51867655895,69851.99676519095,104602.55588669727,218779.17860092808,361045.895403956,0.0,7233.144946131561,8769.797564790928,9558.60592206648,11464.24308891087,12871.562564343618,10422.646953268892,12317.762524577483,13193.117136777431,13635.416342738436,14449.654436325618,13829.884109989163,12398.62445510167,12535.613049582413,12396.811998521425,11647.342127237447,10669.18434122332,9922.364426852027,11646.815902621389,13201.189428573392,15369.1504897312
TR32,8476.59118742128,9408.158024803832,11006.7430161296,11600.56265013666,12696.966431304942,12635.977160942202,14622.767457309146,17253.706714755903,18701.56351053168,20784.993346270294,23545.328638040217,26017.20760409289,28799.38917630194,33533.955395821686,40404.35102110044,46416.36925357211,51004.51202537708,72969.30832543965,155292.0109453777,266527.346661339,0.0,5919.416985700557,6980.702483012252,7640.220809791345,8925.639773256647,9912.686065629083,8180.755808718483,9736.208018588251,10290.42330787927,10378.831237652128,10921.536503244139,10769.777859824982,9595.635738656596,9530.945552385605,9192.801562411152,8569.602651457835,8173.844789802302,7245.109362167058,8124.659033461475,9370.358122486008,11345.6459486508
TR33,6655.680470182772,7944.530050161196,9171.937848149772,9877.197996516446,11493.992918742935,11322.489993729785,13281.863493071029,15598.830394132707,17391.953650658077,19286.63595279496,21769.320365527274,24545.29892536572,27705.334909788715,32835.238091043684,39463.54514260026,44368.929431725766,52956.57620952574,72883.17920718202,148169.86884913716,249480.85562257,0.0,4647.829198730159,5894.713981346214,6366.609115053917,7599.658218732994,8973.509070886983,7330.380912025575,8843.400281141377,9303.425085240282,9652.035335526669,10134.220159422308,9957.420773363521,9052.76812055713,9168.87635773501,9001.259304564437,8370.061454850276,7813.294070533268,7522.39695760743,8115.069114977188,8940.606317259653,10620.003891971
TR41,10205.416116627004,11956.308635411131,13916.047530578842,15296.093343714632,16850.5526882866,16141.13941345496,18210.434039722673,21911.788077972917,24000.271995655883,27357.37621796239,30079.62458018196,33687.214207884215,36754.080596423926,43641.947866897324,52875.718924081346,58125.30870221077,66057.6004493569,96041.19458838693,191030.22474881564,327153.669371376,0.0,7126.69894904792,8871.389400436392,9659.68550163905,11769.034247877385,13155.444628056732,10450.060041586088,12124.967071872374,13068.587433565497,13319.462437479331,14375.014608848744,13758.6049366969,12424.478503146587,12163.49203964228,11963.747246692772,11214.730335673774,10235.769391951148,9383.376498530248,10693.563870947764,11526.810730431029,13926.4122424402
TR42,11052.025989604172,12907.001981081263,15465.700067871785,17051.50335199157,19028.912967165197,17870.41155071652,20054.996360885765,24521.26468265762,26682.34655685397,30308.668892783993,34011.03757755557,38666.493519711905,41455.35528394009,50181.957551823834,61004.96560293768,65429.84450275191,77592.96282029503,118019.50729006494,233964.12672155662,406271.559386881,0.0,7717.907932890328,9576.788627490841,10735.36134380428,13119.67195923571,14856.118698448874,11569.62150498325,13353.123268332782,14624.926562203169,14807.936875554982,15925.78011273114,15556.857375974241,14260.930410068784,13719.344241896484,13756.58708738951,12938.911324426717,11522.08589742799,11021.956274925142,13140.706387847225,14117.452931733955,17294.3351950549
TR51,12579.269015904269,14548.775810659443,16898.001329085804,18911.071818301807,21173.051929435616,21083.874632555388,23366.143170442785,27201.66465798498,29729.18974747765,34944.776922223005,37532.847127803856,41607.59734369751,47145.61659130987,53158.79152985594,61306.703515393456,71674.09621230906,85113.38433095523,117514.60601697999,230677.2804986507,438242.268663079,0.0,8784.420179533634,10794.958498624559,11729.578968925664,14550.450686489683,16530.075743941823,13650.074519263271,15557.768470552552,16223.565674166184,16498.847438474742,18361.83685005924,17167.75468405026,15345.66484406301,15602.494275648409,14572.63886897272,13002.908739291175,12621.688152476188,12090.220123174831,13084.488907052693,13919.12382249857,18655.2775250586
TR52,6329.298166399226,7274.0976023033045,8279.84185504719,9196.042302945083,10265.010071656974,10570.766075219282,11817.334504601899,14408.397028811973,16504.755791200554,19007.98007724904,21334.53564064825,23993.730679277334,26317.530382557678,30840.29251596922,36837.72697314946,41847.47444327346,50217.54694361621,66433.44367135236,141866.89356819817,246189.896373246,0.0,4419.908220812131,5397.263849118958,5747.369585172485,7075.567229900728,8014.026251969735,6843.701509666726,7868.279879164337,8593.429056474071,9159.665975471273,9987.79960176722,9758.547571134055,8849.339372360446,8709.592679688207,8454.376642408963,7813.135832275116,7369.270075302406,7133.322230888802,7396.932911041882,8560.283239079223,10479.9129821939
